"","state","week_start","tmean_week_C","tmean_week_F"
"4782","Indiana",2018-06-11,24.1428571428571,75.4571428571429
"4783","Indiana",2018-06-18,23.8142857142857,74.8657142857143
"4784","Indiana",2018-06-25,25.0571428571429,77.1028571428571
"4785","Indiana",2018-07-02,25.2428571428571,77.4371428571429
"4786","Indiana",2018-07-09,26.4142857142857,79.5457142857143
"4787","Indiana",2018-07-16,23.2714285714286,73.8885714285714
"4788","Indiana",2018-07-23,21.9857142857143,71.5742857142857
"4789","Indiana",2018-07-30,22.5285714285714,72.5514285714286
"4790","Indiana",2018-08-06,24.4714285714286,76.0485714285714
"4791","Indiana",2018-08-13,23.5285714285714,74.3514285714286
"4792","Indiana",2018-08-20,22.1857142857143,71.9342857142857
"4793","Indiana",2018-08-27,25.1857142857143,77.3342857142857
"4794","Indiana",2018-09-03,22.7428571428571,72.9371428571429
"4795","Indiana",2018-09-10,20.9142857142857,69.6457142857143
"4796","Indiana",2018-09-17,22.7714285714286,72.9885714285714
"4797","Indiana",2018-09-24,17.2714285714286,63.0885714285714
"4798","Indiana",2018-10-01,22.8142857142857,73.0657142857143
"4799","Indiana",2018-10-08,14.9714285714286,58.9485714285714
"4800","Indiana",2018-10-15,7.47142857142857,45.4485714285714
"4801","Indiana",2018-10-22,8.32857142857143,46.9914285714286
"4802","Indiana",2018-10-29,9.55714285714286,49.2028571428571
"4803","Indiana",2018-11-05,4.18571428571429,39.5342857142857
"4804","Indiana",2018-11-12,1.15714285714286,34.0828571428571
"4805","Indiana",2018-11-19,4.32857142857143,39.7914285714286
"4806","Indiana",2018-11-26,2.78571428571429,37.0142857142857
"4807","Indiana",2018-12-03,-1.48571428571429,29.3257142857143
"4808","Indiana",2018-12-10,2.82857142857143,37.0914285714286
"4809","Indiana",2018-12-17,2.41428571428571,36.3457142857143
"4810","Indiana",2018-12-24,2.41428571428571,36.3457142857143
"4811","Indiana",2018-12-31,3.78571428571429,38.8142857142857
"4812","Indiana",2019-01-07,0.671428571428571,33.2085714285714
"4813","Indiana",2019-01-14,-3.15714285714286,26.3171428571429
"4814","Indiana",2019-01-21,-4.92857142857143,23.1285714285714
"4815","Indiana",2019-01-28,-5.58571428571429,21.9457142857143
"4816","Indiana",2019-02-04,1.74285714285714,35.1371428571429
"4817","Indiana",2019-02-11,0.457142857142857,32.8228571428571
"4818","Indiana",2019-02-18,2.2,35.96
"4819","Indiana",2019-02-25,-0.771428571428571,30.6114285714286
"4820","Indiana",2019-03-04,-2.52857142857143,27.4485714285714
"4821","Indiana",2019-03-11,5.58571428571429,42.0542857142857
"4822","Indiana",2019-03-18,4.2,39.56
"4823","Indiana",2019-03-25,6.6,43.88
"4824","Indiana",2019-04-01,9.81428571428571,49.6657142857143
"4825","Indiana",2019-04-08,12.8571428571429,55.1428571428571
"4826","Indiana",2019-04-15,10.9428571428571,51.6971428571429
"4827","Indiana",2019-04-22,12.8857142857143,55.1942857142857
"4828","Indiana",2019-04-29,15.1857142857143,59.3342857142857
"4829","Indiana",2019-05-06,14.7714285714286,58.5885714285714
"4830","Indiana",2019-05-13,17.5571428571429,63.6028571428571
"4831","Indiana",2019-05-20,19.7,67.46
"4832","Indiana",2019-05-27,21.5714285714286,70.8285714285714
"4833","Indiana",2019-06-03,21.4285714285714,70.5714285714286
"4834","Indiana",2019-06-10,18.6714285714286,65.6085714285714
"4835","Indiana",2019-06-17,21.3,70.34
"4836","Indiana",2019-06-24,24.6428571428571,76.3571428571429
"4837","Indiana",2019-07-01,25.5142857142857,77.9257142857143
"4838","Indiana",2019-07-08,24.7714285714286,76.5885714285714
"4839","Indiana",2019-07-15,26.9142857142857,80.4457142857143
"4840","Indiana",2019-07-22,22.4,72.32
"4841","Indiana",2019-07-29,23.8285714285714,74.8914285714286
"4842","Indiana",2019-08-05,24.5142857142857,76.1257142857143
"4843","Indiana",2019-08-12,24.2571428571429,75.6628571428571
"4844","Indiana",2019-08-19,22.7857142857143,73.0142857142857
"4845","Indiana",2019-08-26,21.6142857142857,70.9057142857143
"4846","Indiana",2019-09-02,20.8714285714286,69.5685714285714
"4847","Indiana",2019-09-09,24.4428571428571,75.9971428571429
"4848","Indiana",2019-09-16,24.1428571428571,75.4571428571429
"4849","Indiana",2019-09-23,21.6428571428571,70.9571428571429
"4850","Indiana",2019-09-30,21.9142857142857,71.4457142857143
"4851","Indiana",2019-10-07,14.3857142857143,57.8942857142857
"4852","Indiana",2019-10-14,11.3,52.34
"4853","Indiana",2019-10-21,12.5,54.5
"4854","Indiana",2019-10-28,7.08571428571429,44.7542857142857
"4855","Indiana",2019-11-04,4.51428571428571,40.1257142857143
"4856","Indiana",2019-11-11,-1.44285714285714,29.4028571428571
"4857","Indiana",2019-11-18,4.3,39.74
"4858","Indiana",2019-11-25,5.85714285714286,42.5428571428571
"4859","Indiana",2019-12-02,2.74285714285714,36.9371428571429
"4860","Indiana",2019-12-09,0.742857142857143,33.3371428571429
"4861","Indiana",2019-12-16,-3.15714285714286,26.3171428571429
"4862","Indiana",2019-12-23,8.5,47.3
"4863","Indiana",2019-12-30,3.94285714285714,39.0971428571429
"4864","Indiana",2020-01-06,4.45714285714286,40.0228571428571
"4865","Indiana",2020-01-13,0.2,32.36
"4866","Indiana",2020-01-20,-0.528571428571429,31.0485714285714
"4867","Indiana",2020-01-27,1.84285714285714,35.3171428571429
"4868","Indiana",2020-02-03,2.2,35.96
"4869","Indiana",2020-02-10,-0.985714285714286,30.2257142857143
"4870","Indiana",2020-02-17,0.828571428571429,33.4914285714286
"4871","Indiana",2020-02-24,0.985714285714286,33.7742857142857
"4872","Indiana",2020-03-02,5.82857142857143,42.4914285714286
"4873","Indiana",2020-03-09,7.32857142857143,45.1914285714286
"4874","Indiana",2020-03-16,6.35714285714286,43.4428571428571
"4875","Indiana",2020-03-23,11.2,52.16
"4876","Indiana",2020-03-30,8.75714285714286,47.7628571428571
"4877","Indiana",2020-04-06,12.1,53.78
"4878","Indiana",2020-04-13,5.21428571428571,41.3857142857143
"4879","Indiana",2020-04-20,11.3428571428571,52.4171428571429
"4880","Indiana",2020-04-27,14.2857142857143,57.7142857142857
